rdkit_SMILES,pIC50,References_type,References_detail,Year,MOSES_passed,vocab_checked
Cc1c(C=C2C(=O)Nc3ccc(F)cc32)[nH]c2c1C(=O)N(CC(O)CN1CCOCC1)CC2,9.0,Article," Tang, Peng Cho; Su, Yi Dong; Feng, Jun; Fu, Jian Hong; Yang, Jiang Liang; Xiao, Lu; Peng, Jiang Hua; Li, Ya Li; Zhang, Lei; Hu, Bing; Zhou, Ying; Li, Fang Qiong; Fu, Bei Bei; Lou, Li Guang; Gong, Ai Shen; She, Gao Hong; Sun, Wei Hong; Mong, Xian Tai; Journal of Medicinal Chemistry; vol. 53; 22; (2010); p. 8140 - 8149;",2010,YES,True
COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(Cl)c3)ncnc2cc1OCCN1CCOCC1,9.0,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
COc1cc2ncnc(Oc3ccc(CC(=O)Nc4cc(N(C)C)ccn4)cc3)c2cc1OC,9.0,Patent, ASTRAZENECA PLC; US2012/165351; (2012); A1;,2012,YES,True
CCCNC(=O)Nc1ccc(Oc2ccnc3cc(OCCCO)c(OC)cc23)cc1Cl,9.0,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
Cc1cccc(NC(=O)Nc2ccc(-c3cnc4c(-c5cnn(C)c5)cnn4c3N)cc2)c1,9.0,Article," Frey, Robin R.; Curtin, Michael L.; Albert, Daniel H.; Glaser, Keith B.; Pease, Lori J.; Soni, Niru B.; Bouska, Jennifer J.; Reuter, David; Stewart, Kent D.; Marcotte, Patrick; Bukofzer, Gail; Li, Junling; Davidsen, Steven K.; Michaelides, Michael R.; Journal of Medicinal Chemistry; vol. 51; 13; (2008); p. 3777 - 3787;",2008,YES,True
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1C#Cc1cnc2ccccc2c1,9.0,Article," Dimova, Dilyana; Stumpfe, Dagmar; Bajorath, Jürgen; European Journal of Medicinal Chemistry; vol. 90; (2015); p. 414 - 427;",2015,YES,True
COc1cccc(NC(=O)Cc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)c1,9.0,Patent, ASTRAZENECA PLC; US2012/165351; (2012); A1;,2012,YES,True
CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OCCCN4CCCCC4)c(OC)cc23)cc1Cl,9.0,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
COc1cc2ncnc(Oc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c2cc1OC,9.0,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1C#Cc1ccc(N)nc1,9.0,Article," Dimova, Dilyana; Stumpfe, Dagmar; Bajorath, Jürgen; European Journal of Medicinal Chemistry; vol. 90; (2015); p. 414 - 427;",2015,YES,True
Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,9.0,Review, Schenone; Bondavalli; Botta; Current Medicinal Chemistry; vol. 14; 23; (2007); p. 2495 - 2516;,2007,YES,True
Cc1ccc2c(c1)C(=Cc1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,9.0,Patent, PFIZER INC; US2004/24010; (2004); A1;,2004,YES,True
CNc1ncc2cc(-c3cc(C(=O)Nc4cccc(C(F)(F)F)c4)ccc3C)ccc2n1,9.0,Article," Dimova, Dilyana; Stumpfe, Dagmar; Bajorath, Jürgen; European Journal of Medicinal Chemistry; vol. 90; (2015); p. 414 - 427;",2015,YES,True
COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(Cl)c3)ccnc2cc1OCCn1ccnn1,8.958607314841775,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
Cn1nncc1C(=O)Nc1cccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)c1,8.920818753952375,Article," Vojtičková, Margaréta; Dobiaš, Juraj; Hanquet, Gilles; Addová, Gabriela; Cetin-Atalay, Rengul; Yildirim, Deniz Cansen; Boháč, Andrej; European Journal of Medicinal Chemistry; vol. 103; (2015); p. 105 - 122;",2015,YES,True
COc1ccccc1NC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1,8.853871964321762,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,8.853871964321762,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
CCOCCCNC(=O)Nc1ccc(Oc2ccnc3cc(OC)c(C(N)=O)cc23)cc1F,8.853871964321762,Patent, JPARIMOTO ITARU; EISAI CO LTD; EP1415987; (2004); A1;,2004,YES,True
COc1ccccc1NC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1C,8.823908740944319,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
CCCNC(=O)Nc1ccc(Oc2ccnc3cc(OCCCn4ccnn4)c(OC)cc23)cc1Cl,8.823908740944319,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
COc1ccccc1NC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,8.823908740944319,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
CCCNC(=O)Nc1ccc(Oc2ccnc3cc(OCCN4CCOCC4)c(OC)cc23)cc1Cl,8.795880017344075,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
CCCNC(=O)Nc1ccc(Oc2ccnc3cc(OCCO)c(OC)cc23)cc1Cl,8.795880017344075,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
Cc1ccnc(C=Cc2n[nH]c3cc(Nc4ccccc4C(=O)NCC#CC4CC4)ccc23)c1,8.790484985457368,Patent, PFIZER INC; US2004/192735; (2004); A1;,2004,YES,True
COc1cc(OC)c(F)c(N=c2ccc3ncc(-c4cnn(C)c4)nc3n2CC2CCOC2)c1F,8.79,Patent, OTSUKA HOLDINGS CO LTD; US2014/288053; (2014); A1;,2014,YES,True
CNC(=O)c1c(C)n(C)c2cc(Oc3ccnc4cc(C(=O)N5CCC(O)C5)sc34)ccc12,8.769551078621726,Patent, PFIZER INC; CORTICAL; US2004/9965; (2004); A1;,2004,YES,True
CCCNC(=O)Nc1ccc(Oc2ccnc3cc(OCCN(C)CCO)c(OC)cc23)cc1Cl,8.744727494896694,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
CNC(=O)c1c(C)sc2cc(Oc3ccnc4cc(C(=O)N5CCCC5COC)sc34)ccc12,8.744727494896694,Patent, PFIZER INC; CORTICAL; US2004/9965; (2004); A1;,2004,YES,True
CNC(=O)c1c(C)sc2cc(Oc3ccnc4cc(C(=O)N5CC(O)C(O)C5)sc34)ccc12,8.709965388637482,Patent, PFIZER INC; CORTICAL; US2004/9965; (2004); A1;,2004,YES,True
Cc1c(C=C2C(=O)Nc3ccc(F)cc32)[nH]c2c1C(=O)N(CCN(C)C)CC2,8.698970004336019,Article," Tang, Peng Cho; Su, Yi Dong; Feng, Jun; Fu, Jian Hong; Yang, Jiang Liang; Xiao, Lu; Peng, Jiang Hua; Li, Ya Li; Zhang, Lei; Hu, Bing; Zhou, Ying; Li, Fang Qiong; Fu, Bei Bei; Lou, Li Guang; Gong, Ai Shen; She, Gao Hong; Sun, Wei Hong; Mong, Xian Tai; Journal of Medicinal Chemistry; vol. 53; 22; (2010); p. 8140 - 8149;",2010,YES,True
CS(=O)(=O)N1CCN(Cc2ccnc(Nc3ncc(-c4ccccc4)s3)c2)CC1,8.698970004336019,Article," Bilodeau, Mark T.; Balitza, Adrienne E.; Koester, Timothy J.; Manley, Peter J.; Rodman, Leonard D.; Buser-Doepner, Carolyn; Coll, Kathleen E.; Fernandes, Christine; Gibbs, Jackson B.; Heimbrook, David C.; Huckle, William R.; Kohl, Nancy; Lynch, Joseph J.; Mao, Xianzhi; McFall, Rosemary C.; McLoughlin, Debra; Miller-Stein, Cynthia M.; Rickert, Keith W.; Sepp-Lorenzino, Laura; Shipman, Jennifer M.; Subramanian, Raju; Thomas, Kenneth A.; Wong, Bradley K.; Yu, Sean; Hartman, George D.; Journal of Medicinal Chemistry; vol. 47; 25; (2004); p. 6363 - 6372;",2004,YES,True
COC(=O)c1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)ccc4F)cc3)c2s1,8.698970004336019,Patent, ABBVIE INC; US2011/53905; (2011); A1;,2011,YES,True
COc1cc2ncnc(Oc3ccc(NC(=O)Nc4ccc(F)cc4)c(C)c3)c2cc1OC,8.698970004336019,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc4cc(C(=O)N=S(C)(C)=O)sc34)cc2)c1,8.698970004336019,Patent, ABBVIE INC; US2014/336108; (2014); A1;,2014,YES,True
CCCNC(=O)Nc1ccc(Oc2ccnc3cc(OCCN(CCO)CCO)c(OC)cc23)cc1Cl,8.67778070526608,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(Cl)c3)ncnc2cc1OCCN(C)CCO,8.67778070526608,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
COc1cc2nccc(Oc3ccc(NC(=O)NCCCSC)c(F)c3)c2cc1C(N)=O,8.657577319177793,Patent, JPARIMOTO ITARU; EISAI CO LTD; EP1415987; (2004); A1;,2004,YES,True
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)NCC(N)=O,8.657577319177793,Patent, JPARIMOTO ITARU; EISAI CO LTD; EP1415987; (2004); A1;,2004,YES,True
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)NCCO,8.657577319177793,Patent, JPARIMOTO ITARU; EISAI CO LTD; EP1415987; (2004); A1;,2004,YES,True
COc1cc2ncnc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC,8.638272163982407,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)nc2[nH]1,8.638272163982407,Article," Hasegawa, Masaichi; Nishigaki, Naohiko; Washio, Yoshiaki; Kano, Kazuya; Harris, Philip A.; Sato, Hideyuki; Mori, Ichiro; West, Rob I.; Shibahara, Megumi; Toyoda, Hiroko; Wang, Liping; Nolte, Robert T.; Veal, James M.; Cheung, Mui; Journal of Medicinal Chemistry; vol. 50; 18; (2007); p. 4453 - 4470;",2007,YES,True
COc1cc(N=c2ccc3ncc(-c4cnn(C)c4)nc3n2Cc2cn[nH]c2)c(F)c(OC)c1,8.61,Patent, OTSUKA HOLDINGS CO LTD; US2014/288053; (2014); A1;,2014,YES,True
COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,8.602059991327963,Article," Peifer, Christian; Selig, Roland; Kinkel, Katrin; Ott, Dimitri; Totzke, Frank; Schächtele, Christoph; Heidenreich, Regina; Röcken, Martin; Schollmeyer, Dieter; Laufer, Stefan; Journal of Medicinal Chemistry; vol. 51; 13; (2008); p. 3814 - 3824;",2008,YES,True
CCCNC(=O)Nc1ccc(Oc2ccnc3cc(OCc4cccnc4)c(OC)cc23)cc1Cl,8.585026652029182,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
C=CCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,8.568636235841012,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
COCCOc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc(OC)c4)cc3)c2cc1C#N,8.568636235841012,Patent, JPARIMOTO ITARU; EISAI CO LTD; EP1415987; (2004); A1;,2004,YES,True
COc1cc(O)cc(N(Cc2ncc[nH]2)c2ccc3ncc(-c4cnn(C)c4)nc3n2)c1F,8.56,Patent, OTSUKA HOLDINGS CO LTD; US2014/288053; (2014); A1;,2014,YES,True
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)NCC#N,8.55284196865778,Patent, JPARIMOTO ITARU; EISAI CO LTD; EP1415987; (2004); A1;,2004,YES,True
COc1cc(OC)c(F)c(N=c2ccc3ncc(-c4cnn(C)c4)nc3n2CCCN2CCCC2=O)c1F,8.55,Patent, OTSUKA HOLDINGS CO LTD; US2014/288053; (2014); A1;,2014,YES,True
Nc1ncnc2scc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,8.522878745280337,Article," Yu, Hui; Wang, Zhanli; Zhang, Liangren; Zhang, Jufeng; Huang, Qian; Chemical Biology and Drug Design; vol. 69; 3; (2007); p. 204 - 211;",2007,YES,True
c1cc(-c2cnn3cc(-c4ccc(OCN5CCCCC5)cc4)cnc23)cs1,8.522878745280337,Review, Underiner; Ruggeri; Gingrich; Current Medicinal Chemistry; vol. 11; 6; (2004); p. 731 - 745;,2004,YES,True
COc1ccccc1NC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)c(C)c1,8.522878745280337,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCNC(=O)c5ccccc5)c4)n[nH]c2-3)CC1,8.522878745280337,Article," Dinges, Jürgen; Albert, Daniel H.; Arnold, Lee D.; Ashworth, Kimba L.; Akritopoulou-Zanze, Irini; Bousquet, Peter F.; Bouska, Jennifer J.; Cunha, George A.; Davidsen, Steven K.; Diaz, Gilbert J.; Djuric, Stevan W.; Gasiecki, Alan F.; Gintant, Gary A.; Gracias, Vijaya J.; Harris, Christopher M.; Houseman, Kathryn A.; Hutchins, Charles W.; Johnson, Eric F.; Li, Hu; Marcotte, Patrick A.; Martin, Ruth L.; Michaelides, Michael R.; Nyein, Michelle; Sowin, Thomas J.; Su, Zhi; Tapang, Paul H.; Xia, Zhiren; Zhang, Henry Q.; Journal of Medicinal Chemistry; vol. 50; 9; (2007); p. 2011 - 2029;",2007,YES,True
CNC(=O)n1ccc2cc(Oc3ccnc(NC(=O)NCC(N)=O)c3)ccc21,8.522878745280337,Patent, EISAI CO LTD; EP1522540; (2005); A1;,2005,YES,True
COc1cc2ncnc(Nc3cc(O)c(C)cc3F)c2cc1OC,8.522878745280337,Article," Hennequin, Laurent F.; Thomas, Andrew P.; Johnstone, Craig; Stokes, Elaine S. E.; Plé, Patrick A.; Lohmann, Jean-Jacques M.; Ogilvie, Donald J.; Dukes, Mike; Wedge, Steve R.; Curwen, Jon O.; Kendrew, Jane; Lambert-Van Der Brempt, Christine; Journal of Medicinal Chemistry; vol. 42; 26; (1999); p. 5369 - 5389;",1999,YES,True
CNC(=O)n1ccc2cc(Oc3ccnc(NC(=O)NC(CO)C(=O)N4CCCC4)c3)ccc21,8.522878745280337,Patent, EISAI CO LTD; EP1522540; (2005); A1;,2005,YES,True
COc1cc(OC)c(F)c(N=c2ccc3ncc(-c4cnn(C)c4)nc3n2C)c1F,8.51,Patent, OTSUKA HOLDINGS CO LTD; US2014/288053; (2014); A1;,2014,YES,True
CNc1ncc2cc(-c3cc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)ccc2n1,8.5,Article," Dimova, Dilyana; Stumpfe, Dagmar; Bajorath, Jürgen; European Journal of Medicinal Chemistry; vol. 90; (2015); p. 414 - 427;",2015,YES,True
CCn1c(=Nc2c(F)c(OC)cc(OC)c2F)ccc2ncc(-c3cnn(C)c3)nc21,8.5,Patent, OTSUKA HOLDINGS CO LTD; US2014/288053; (2014); A1;,2014,YES,True
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)NCC1OCCO1,8.494850021680094,Patent, JPARIMOTO ITARU; EISAI CO LTD; EP1415987; (2004); A1;,2004,YES,True
CC1(C)CC(NC(=O)c2cccc(-c3cc4nccc(Nc5cccc(O)c5)n4n3)c2)CC(C)(C)N1[O],8.481486060122112,Article," Moy, Franklin J.; Lee, Arthur; Gavrin, Lori Krim; Xu, Zhang Bao; Sievers, Annette; Kieras, Elizabeth; Stochaj, Wayne; Mosyak, Lidia; McKew, John; Tsao, Désirée H. H.; Journal of Medicinal Chemistry; vol. 53; 3; (2010); p. 1238 - 1249;",2010,YES,True
COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4Cl)cc3)cc2[nH]1,8.481486060122112,Article," Hasegawa, Masaichi; Nishigaki, Naohiko; Washio, Yoshiaki; Kano, Kazuya; Harris, Philip A.; Sato, Hideyuki; Mori, Ichiro; West, Rob I.; Shibahara, Megumi; Toyoda, Hiroko; Wang, Liping; Nolte, Robert T.; Veal, James M.; Cheung, Mui; Journal of Medicinal Chemistry; vol. 50; 18; (2007); p. 4453 - 4470;",2007,YES,True
COCCOc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc(S(C)(=O)=O)c4)c(F)c3)c2cc1C#N,8.468521082957745,Patent, JPARIMOTO ITARU; EISAI CO LTD; EP1415987; (2004); A1;,2004,YES,True
